,userId,movieId,rating
0,8914,320,3
1,10983,429,1
2,9729,889,5
3,12470,94,3
4,822,708,5
5,11487,82,1
6,7220,190,2
7,4692,111,5
8,12517,538,5
9,4720,383,3
10,2745,797,4
11,3996,625,3
12,11643,492,5
13,4149,127,2
14,15337,814,5
15,2017,654,4
16,12348,4,4
17,9920,56,2
18,6000,265,5
19,7754,381,1
20,10224,793,1
21,7575,879,2
22,8763,594,2
23,2414,805,1
24,3969,771,5
25,5432,353,1
26,10551,776,1
27,13263,834,3
28,13253,235,3
29,6493,383,4
30,3475,937,1
31,13396,885,2
32,8909,50,4
33,12088,706,5
34,12483,885,4
35,9470,320,1
36,6063,568,1
37,14946,837,3
38,10154,324,3
39,8857,82,5
40,14956,897,1
41,8760,442,4
42,8357,676,1
43,6252,945,1
44,7169,998,4
45,12155,677,3
46,13344,983,1
47,3211,752,4
48,6580,320,3
49,7781,321,4
50,11264,979,4
51,6875,694,1
52,10174,292,1
53,1844,892,1
54,4148,292,2
55,14917,304,3
56,11525,813,1
57,899,812,3
58,11161,727,5
59,6289,194,5
60,10788,394,5
61,5438,930,3
62,9060,744,3
63,3279,837,1
64,5743,853,5
65,1805,684,5
66,13947,996,2
67,13084,320,5
68,8131,235,5
69,4726,912,2
70,13996,64,2
71,11371,58,5
72,10234,991,1
73,977,134,2
74,6320,173,5
75,890,169,1
76,13512,618,5
77,2862,636,5
78,7838,235,4
79,9784,873,1
80,1978,571,3
81,10317,61,2
82,1597,19,4
83,9443,86,5
84,10087,127,5
85,12678,395,1
86,11396,520,3
87,7663,654,1
88,10372,983,1
89,15015,668,3
90,12373,996,1
91,9849,170,5
92,8985,573,5
93,11167,657,3
94,2710,596,2
95,2097,164,1
96,5119,910,4
97,9390,964,4
98,8497,898,1
99,14200,591,1
100,5510,935,2
101,14413,304,5
102,6597,292,4
103,4049,867,4
104,14113,396,5
105,5779,425,1
106,6340,632,1
107,10606,327,2
108,11259,135,5
109,9785,367,4
110,1647,782,1
111,11892,619,3
112,6991,399,3
113,10722,483,1
114,8435,684,1
115,12439,219,1
116,11370,29,1
117,7280,729,2
118,12544,294,1
119,11758,693,5
120,8874,56,5
121,10453,202,1
122,11929,815,1
123,478,837,5
124,14686,607,1
125,9759,996,2
126,7718,744,1
127,14904,935,2
128,6530,383,3
129,13054,264,5
130,9665,775,2
131,13856,795,5
132,5466,883,5
133,1431,216,1
134,1687,287,2
135,6530,584,4
136,15189,855,5
137,13287,96,1
138,15092,292,5
139,13982,758,4
140,3980,767,5
141,9535,607,1
142,14531,56,1
143,9942,18,1
144,5639,600,1
145,8627,516,1
146,6818,596,2
147,8847,498,4
148,15210,647,5
149,7758,235,3
150,3214,251,1
151,4212,207,1
152,922,636,1
153,9675,123,3
154,7868,754,5
155,4825,753,1
156,6705,206,1
157,5196,603,1
158,10063,50,5
159,8892,646,4
160,6339,793,2
161,1953,21,1
162,4996,744,1
163,6369,996,5
164,10824,600,2
165,5126,103,1
166,9166,174,1
167,15182,373,4
168,8826,273,2
169,7867,64,1
170,4438,793,3
171,3620,335,4
172,15193,996,3
173,13824,370,4
174,4800,879,1
175,4537,941,2
176,10162,312,2
177,6251,885,3
178,12598,767,5
179,8176,414,1
180,14940,425,4
181,5767,50,2
182,6764,570,1
183,3998,996,3
184,10017,693,2
185,5550,747,5
186,10495,53,5
187,5890,86,3
188,8587,500,1
189,9049,395,4
190,6788,248,5
191,8336,586,1
192,4764,941,1
193,2947,410,5
194,10384,885,5
195,12318,930,2
196,3071,381,4
197,10084,844,1
198,648,865,5
199,11444,400,3
200,13766,383,4
201,9576,542,1
202,10254,304,3
203,4034,235,5
204,7954,35,4
205,14387,419,5
206,3549,1,5
207,9861,293,1
208,4342,119,4
209,3089,729,1
210,12679,423,5
211,14489,862,1
212,6020,444,4
213,14575,218,1
214,3287,507,1
215,5934,888,5
216,13072,753,5
217,123,505,2
218,13239,921,1
219,9078,56,2
220,7877,965,2
221,11906,320,2
222,14235,812,4
223,12842,170,4
224,9531,316,1
225,12542,795,5
226,11342,217,2
227,8486,56,2
228,7313,320,4
229,2491,795,4
230,10690,522,1
231,7775,395,4
232,2908,576,1
233,13450,573,5
234,6702,314,1
235,2872,545,1
236,9106,910,1
237,10603,487,1
238,9897,858,4
239,9829,646,1
240,13761,707,5
241,13602,783,5
242,13214,527,1
243,6832,509,1
244,4865,200,1
245,12728,312,1
246,7563,641,1
247,8086,646,1
248,10055,56,4
249,657,153,3
250,10576,437,2
251,14238,304,1
252,5718,662,1
253,12824,43,1
254,5194,573,2
255,7983,292,3
256,4463,795,4
257,14028,105,5
258,6107,387,1
259,8918,454,5
260,3588,342,4
261,4083,873,3
262,5139,501,3
263,9449,56,1
264,4884,166,4
265,3044,848,1
266,7167,492,5
267,10306,383,4
268,6011,831,4
269,5019,173,1
270,10153,287,5
271,2919,753,1
272,12735,776,2
273,5838,119,1
274,9529,292,3
275,2250,969,1
276,7617,747,5
277,6384,292,2
278,10945,671,3
279,3964,334,1
280,3714,858,2
281,13455,473,3
282,4310,614,2
283,14885,501,3
284,3677,58,1
285,6286,402,5
286,10090,115,3
287,309,100,1
288,6626,274,2
